"FIPS","STATEFP","COUNTYFP","CD115FP"
"1803179","18","179","3"
"1803183","18","183","3"
"1804007","18","7","4"
"1804011","18","11","4"
"1804015","18","15","4"
"1804017","18","17","4"
"1804023","18","23","4"
"1804045","18","45","4"
"1804063","18","63","4"
"1804067","18","67","4"
"1804073","18","73","4"
"1804107","18","107","4"
"1804109","18","109","4"
"1804111","18","111","4"
"1804133","18","133","4"
"1804157","18","157","4"
"1804171","18","171","4"
"1804181","18","181","4"
"1805009","18","9","5"
"1805011","18","11","5"
"1805053","18","53","5"
"1805057","18","57","5"
"1805067","18","67","5"
"1805095","18","95","5"
"1805097","18","97","5"
"1805159","18","159","5"
"1806005","18","5","6"
"1806029","18","29","6"
"1806031","18","31","6"
"1806035","18","35","6"
"1806041","18","41","6"
"1806047","18","47","6"
"1806059","18","59","6"
"1806065","18","65","6"
"1806077","18","77","6"
"1806079","18","79","6"
"1806115","18","115","6"
"1806135","18","135","6"
"1806137","18","137","6"
"1806139","18","139","6"
"1806143","18","143","6"
"1806145","18","145","6"
"1806155","18","155","6"
"1806161","18","161","6"
"1806177","18","177","6"
"1807097","18","97","7"
"1808021","18","21","8"
"1808025","18","25","8"
"1808027","18","27","8"
"1808037","18","37","8"
"1808051","18","51","8"
"1808055","18","55","8"
"1808083","18","83","8"
"1808101","18","101","8"
"1808119","18","119","8"
"1808121","18","121","8"
"1808123","18","123","8"
"1808125","18","125","8"
"1808129","18","129","8"
"1808147","18","147","8"
"1808153","18","153","8"
"1808163","18","163","8"
"1808165","18","165","8"
"1808167","18","167","8"
"1808173","18","173","8"
"1809013","18","13","9"
"1809019","18","19","9"
"1809025","18","25","9"
"1809043","18","43","9"
"1809061","18","61","9"
"1809071","18","71","9"
"1809081","18","81","9"
"1809093","18","93","9"
"1809105","18","105","9"
"1809109","18","109","9"
"1809117","18","117","9"
"1809143","18","143","9"
"1809175","18","175","9"
"1901005","19","5","1"
"1901011","19","11","1"
"1901013","19","13","1"
"1901017","19","17","1"
"1901019","19","19","1"
"1901043","19","43","1"
"1901055","19","55","1"
"1901061","19","61","1"
"1901065","19","65","1"
"1901089","19","89","1"
"1901095","19","95","1"
"1901097","19","97","1"
"1901105","19","105","1"
"1901113","19","113","1"
"1901127","19","127","1"
"1901131","19","131","1"
"1901157","19","157","1"
"1901171","19","171","1"
"1901191","19","191","1"
"1901195","19","195","1"
"1902007","19","7","2"
"1902031","19","31","2"
"1902039","19","39","2"
"1902045","19","45","2"
"1902051","19","51","2"
"1902053","19","53","2"
"1902057","19","57","2"
"1902087","19","87","2"
"1902099","19","99","2"
"1902101","19","101","2"
"1902103","19","103","2"
"1902107","19","107","2"
"1902111","19","111","2"
"1902115","19","115","2"
"1902117","19","117","2"
"1902123","19","123","2"
"1902125","19","125","2"
"1902135","19","135","2"
"1902139","19","139","2"
"1902163","19","163","2"
"1902177","19","177","2"
"1902179","19","179","2"
"1902183","19","183","2"
"1902185","19","185","2"
"1903001","19","1","3"
"1903003","19","3","3"
"1903029","19","29","3"
"1903049","19","49","3"
"1903071","19","71","3"
"1903077","19","77","3"
"1903121","19","121","3"
"1903129","19","129","3"
"1903137","19","137","3"
"1903145","19","145","3"
"1903153","19","153","3"
"1903155","19","155","3"
"1903159","19","159","3"
"1903173","19","173","3"
"1903175","19","175","3"
"1903181","19","181","3"
"1904009","19","9","4"
"1904015","19","15","4"
"1904021","19","21","4"
"1904023","19","23","4"
"1904025","19","25","4"
"1904027","19","27","4"
"1904033","19","33","4"
"1904035","19","35","4"
"1904037","19","37","4"
"1904041","19","41","4"
"1904047","19","47","4"
"1904059","19","59","4"
"1904063","19","63","4"
"1904067","19","67","4"
"1904069","19","69","4"
"1904073","19","73","4"
"1904075","19","75","4"
"1904079","19","79","4"
"1904081","19","81","4"
"1904083","19","83","4"
"1904085","19","85","4"
"1904091","19","91","4"
"1904093","19","93","4"
"1904109","19","109","4"
"1904119","19","119","4"
"1904133","19","133","4"
"1904141","19","141","4"
"1904143","19","143","4"
"1904147","19","147","4"
"1904149","19","149","4"
"1904151","19","151","4"
"1904161","19","161","4"
"1904165","19","165","4"
"1904167","19","167","4"
"1904169","19","169","4"
"1904187","19","187","4"
"1904189","19","189","4"
"1904193","19","193","4"
"1904197","19","197","4"
"2001009","20","9","1"
"2001017","20","17","1"
"2001023","20","23","1"
"2001025","20","25","1"
"2001027","20","27","1"
"2001029","20","29","1"
"2001039","20","39","1"
"2001041","20","41","1"
"2001051","20","51","1"
"2001053","20","53","1"
"2001055","20","55","1"
"2001057","20","57","1"
"2001061","20","61","1"
"2001063","20","63","1"
"2001065","20","65","1"
"2001067","20","67","1"
"2001069","20","69","1"
"2001071","20","71","1"
"2001075","20","75","1"
"2001081","20","81","1"
"2001083","20","83","1"
"2001089","20","89","1"
"2001093","20","93","1"
"2001101","20","101","1"
"2001105","20","105","1"
"2001109","20","109","1"
"2001111","20","111","1"
"2001113","20","113","1"
"2001115","20","115","1"
"2001117","20","117","1"
"2001119","20","119","1"
"2001123","20","123","1"
"2001127","20","127","1"
"2001129","20","129","1"
"2001135","20","135","1"
"2001137","20","137","1"
"2001141","20","141","1"
"2001143","20","143","1"
"2001145","20","145","1"
"2001147","20","147","1"
"2001149","20","149","1"
"2001153","20","153","1"
"2001155","20","155","1"
"2001157","20","157","1"
"2001159","20","159","1"
"2001161","20","161","1"
"2001163","20","163","1"
"2001165","20","165","1"
"2001167","20","167","1"
"2001169","20","169","1"
"2001171","20","171","1"
"2001175","20","175","1"
"2001179","20","179","1"
"2001181","20","181","1"
"2001183","20","183","1"
"2001187","20","187","1"
"2001189","20","189","1"
"2001193","20","193","1"
"2001195","20","195","1"
"2001197","20","197","1"
"2001199","20","199","1"
"2001201","20","201","1"
"2001203","20","203","1"
"2002001","20","1","2"
"2002003","20","3","2"
"2002005","20","5","2"
"2002011","20","11","2"
"2002013","20","13","2"
"2002021","20","21","2"
"2002031","20","31","2"
"2002037","20","37","2"
"2002043","20","43","2"
"2002045","20","45","2"
"2002059","20","59","2"
"2002085","20","85","2"
"2002087","20","87","2"
"2002099","20","99","2"
"2002103","20","103","2"
"2002107","20","107","2"
"2002117","20","117","2"
"2002121","20","121","2"
"2002125","20","125","2"
"2002131","20","131","2"
